file,duration,sample_rate,rms,peak,clipping_ratio,speech_ratio,silence_ratio,snr_estimate_db,decay_slope_db_per_s,spectral_centroid_hz,rolloff85_hz,tier
asr_final_20260810_133559_945.wav,4.496,16000,0.105615,1.0,5.6e-05,0.3259,0.6741,42.55,-26.8,740.8,899.7,likely_quiet
asr_final_20260810_133641_411.wav,15.248,16000,0.137673,1.0,9.4e-05,0.677,0.323,36.38,53.3,688.5,965.9,likely_quiet
asr_final_20260810_133724_376.wav,23.952,16000,0.110104,1.0,5.2e-05,0.7338,0.2662,50.19,10.2,977.4,1690.1,likely_quiet
asr_final_20260810_133748_514.wav,3.984,16000,0.058819,0.5775,0.0,0.5303,0.4697,70.65,-407.6,580.0,681.7,likely_quiet
asr_final_20260810_133806_138.wav,11.152,16000,0.052917,0.7531,0.0,0.5831,0.4169,55.1,-149.7,1203.9,1663.6,likely_quiet
asr_final_20260810_134231_594.wav,4.24,16000,0.032478,0.5095,0.0,0.6137,0.3863,52.82,-365.6,921.1,1207.8,likely_quiet
asr_final_20260810_134443_638.wav,10.896,16000,0.070115,0.9998,6e-06,0.5303,0.4697,44.37,23.2,1283.4,2228.8,likely_quiet
asr_final_20260810_134635_740.wav,3.984,16000,0.046976,0.9967,0.0,0.1667,0.8333,44.58,-81.4,805.7,899.6,likely_quiet
asr_final_20260810_134712_628.wav,6.032,16000,0.084022,0.9989,0.0,0.5075,0.4925,46.02,100.4,730.6,928.5,likely_quiet
asr_final_20260810_134735_150.wav,5.008,16000,0.089382,0.9976,0.0,0.4429,0.5571,37.34,9.7,341.6,655.4,likely_quiet
asr_final_20260810_135115_103.wav,4.24,16000,0.047542,0.6456,0.0,0.5142,0.4858,38.16,28.5,282.4,414.9,likely_quiet
asr_final_20260810_135548_762.wav,4.752,16000,0.090543,0.9998,1.3e-05,0.5264,0.4736,59.45,79.4,788.5,1473.9,likely_quiet
asr_final_20260810_140326_395.wav,11.152,16000,0.093478,0.9999,2.8e-05,0.7116,0.2884,42.95,27.0,576.5,852.0,likely_quiet
asr_final_20260810_140438_607.wav,6.8,16000,0.060971,0.8673,0.0,0.5206,0.4794,36.79,48.4,305.0,418.5,likely_quiet
asr_final_20260810_140509_317.wav,4.24,16000,0.072354,0.9999,1.5e-05,0.4502,0.5498,42.61,82.4,560.8,800.0,likely_quiet
asr_final_20260810_140805_763.wav,4.752,16000,0.138217,1.0,0.000132,0.3975,0.6025,46.76,62.3,571.5,664.4,likely_quiet
asr_final_20260810_140914_104.wav,6.144,16000,0.076732,0.9952,0.0,0.5637,0.4363,50.92,-77.0,604.5,757.2,likely_quiet
asr_final_20260810_141003_534.wav,3.984,16000,0.051379,0.5794,0.0,0.6136,0.3864,33.79,10.9,379.8,655.4,likely_quiet
asr_final_20260810_141032_114.wav,5.008,16000,0.051833,0.6295,0.0,0.4489,0.5511,43.24,53.0,678.1,1180.5,likely_quiet
asr_final_20260810_141411_584.wav,4.496,16000,0.057795,1.0,4.2e-05,0.2031,0.7969,46.88,-54.6,903.0,1060.3,likely_quiet
asr_final_20260810_141443_780.wav,7.824,16000,0.189058,1.0,9.6e-05,0.6141,0.3859,38.25,-117.2,286.9,337.2,likely_quiet
asr_final_20260810_141711_540.wav,9.872,16000,0.185376,1.0,4.4e-05,0.6477,0.3523,48.61,15.1,383.2,640.3,likely_quiet
asr_final_20260810_142026_276.wav,22.16,16000,0.207201,1.0,0.000158,0.7435,0.2565,51.32,-160.2,633.3,719.0,likely_quiet
asr_final_20260810_142040_355.wav,5.776,16000,0.061714,0.9974,0.0,0.4635,0.5365,42.12,-50.1,937.2,1146.5,likely_quiet
asr_final_20260810_142505_560.wav,3.728,16000,0.059573,0.9995,1.7e-05,0.372,0.628,35.33,-21.9,339.0,478.0,likely_quiet
asr_final_20260810_142556_270.wav,3.472,16000,0.072952,0.9826,0.0,0.458,0.542,31.27,90.1,723.8,849.1,likely_quiet
asr_final_20260810_142745_142.wav,3.984,16000,0.034327,0.4685,0.0,0.3207,0.6793,36.72,36.8,235.3,340.9,likely_quiet
asr_final_20260810_142805_379.wav,3.984,16000,0.082706,0.9999,3.1e-05,0.1995,0.8005,47.25,-50.7,481.8,438.8,likely_quiet
asr_final_20260810_145454_199.wav,6.288,16000,0.115116,1.0,1e-05,0.614,0.386,34.89,-117.2,275.6,414.8,likely_quiet
asr_final_20260810_145518_579.wav,9.104,16000,0.171636,1.0,6.9e-05,0.728,0.272,46.4,44.3,391.5,668.2,likely_quiet
asr_final_20260810_145733_224.wav,4.496,16000,0.092218,1.0,8.3e-05,0.4464,0.5536,41.6,68.5,822.1,1203.5,likely_quiet
asr_final_20260810_150929_775.wav,5.008,16000,0.044082,0.6922,0.0,0.4108,0.5892,34.38,16.2,338.0,533.9,likely_quiet
asr_final_20260810_152042_935.wav,3.984,16000,0.055701,0.7759,0.0,0.1995,0.8005,34.14,-52.2,754.8,1311.5,likely_quiet
asr_final_20260810_152226_374.wav,3.728,16000,0.063378,0.9988,0.0,0.5283,0.4717,30.74,7.0,320.1,509.4,likely_quiet
asr_final_20260810_152326_604.wav,3.728,16000,0.070393,1.0,1.7e-05,0.3639,0.6361,31.87,-108.7,384.8,358.4,likely_quiet
asr_final_20260810_152935_981.wav,6.288,16000,0.127819,1.0,5e-05,0.4322,0.5678,34.42,8.7,328.9,541.8,likely_quiet
asr_final_20260810_153049_659.wav,5.776,16000,0.05275,0.9944,0.0,0.2743,0.7257,37.14,-67.8,867.8,1062.8,likely_quiet
asr_final_20260810_153601_462.wav,5.008,16000,0.193146,0.9998,3.7e-05,0.5852,0.4148,38.31,155.6,261.3,334.7,likely_quiet
asr_final_20260810_153605_863.wav,3.728,16000,0.064753,0.9931,0.0,0.248,0.752,41.96,-48.0,551.9,618.8,likely_quiet
asr_final_20260810_154042_080.wav,7.056,16000,0.035613,0.9738,0.0,0.4048,0.5952,32.81,-32.5,584.0,715.4,likely_quiet
asr_final_20260810_154624_604.wav,4.24,16000,0.11175,0.9999,0.000118,0.2085,0.7915,44.24,-141.0,283.9,370.3,likely_quiet
asr_final_20260810_154852_769.wav,5.008,16000,0.142784,1.0,7.5e-05,0.3667,0.6333,45.22,-179.9,475.3,686.7,likely_quiet
